Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2018-01-15,50.400001525878906,50.400001525878906,50.400001525878906,50.400001525878906,0,0.0,0.0,0.0
2018-01-22,50.400001525878906,50.400001525878906,50.400001525878906,50.400001525878906,0,0.0,0.0,0.0
2018-01-29,50.400001525878906,50.400001525878906,50.400001525878906,50.400001525878906,800,0.0,0.0,0.0
2018-02-05,50.400001525878906,50.400001525878906,49.040000915527344,49.119998931884766,801,0.0,0.0,0.0
2018-02-12,49.439998626708984,49.83000183105469,49.439998626708984,49.83000183105469,701,0.0,0.0,0.0
2018-02-19,49.83000183105469,50.095001220703125,49.810001373291016,49.83000183105469,800,0.0,0.0,0.0
2018-02-26,49.380001068115234,49.380001068115234,49.380001068115234,49.380001068115234,200,0.0,0.0,0.0
2018-03-05,49.380001068115234,49.380001068115234,48.519901275634766,48.540000915527344,400,0.0,0.0,0.0
2018-03-12,48.540000915527344,48.540000915527344,47.95989990234375,47.95989990234375,2199,0.0,0.0,0.0
2018-03-19,47.13999938964844,47.13999938964844,46.19499969482422,46.25,3150,0.0,0.0,0.0
2018-03-26,45.459999084472656,45.880001068115234,44.81999969482422,44.81999969482422,1383,0.0,0.0,0.0
2018-04-02,44.81999969482422,45.059898376464844,43.97999954223633,44.029998779296875,6552,0.0,0.0,0.0
2018-04-09,44.029998779296875,47.70000076293945,44.029998779296875,45.529998779296875,21191,0.0,0.0,0.0
2018-04-16,45.689998626708984,46.310001373291016,45.349998474121094,45.349998474121094,10875,0.0,0.0,0.0
2018-04-23,45.349998474121094,45.349998474121094,44.91999816894531,45.18000030517578,506,0.0,0.0,0.0
2018-04-30,45.290000915527344,45.56999969482422,45.22999954223633,45.56999969482422,811,0.0,0.0,0.0
2018-05-07,45.56999969482422,46.150001525878906,45.56999969482422,45.869998931884766,6036,0.0,0.0,0.0
2018-05-14,45.869998931884766,45.869998931884766,44.20000076293945,44.22999954223633,749,0.0,0.0,0.0
2018-05-21,45.029998779296875,45.099998474121094,44.68000030517578,45.08000183105469,1270,0.0,0.0,0.0
2018-05-28,45.08000183105469,46.70000076293945,45.08000183105469,45.630001068115234,33762,0.0,0.0,0.0
2018-06-04,45.880001068115234,47.209999084472656,45.880001068115234,47.209999084472656,1701,0.0,0.0,0.0
